id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed,card_on_dark_web,issuer_bank_name,issuer_bank_state,issuer_bank_type,issuer_risk_rating
6127,1852,VISA,Debit (Prepaid),4966050979388902.0,Mar-21,585,YES,2,91,Dec-16,2016,No,Chase Bank,NY,National,Low
2477,1852,Mastercard,Credit,5247576622089394.0,Sep-21,379,YES,1,$13400,Apr-05,2014,No,Chase Bank,NY,National,Low
2632,1852,Mastercard,Credit,5911319900289832.0,Apr-21,37,YES,2,$21600,Apr-10,2010,No,Truist,NC,Regional,Medium
1463,1231,Mastercard,Debit,5058769177189803.0,Feb-20,12,NO,1,$9090,Feb-20,2020,No,Capital One,VA,Online,Medium
5679,970,VISA,Debit,4682877628388639.0,Feb-23,846,NO,1,$25942,Nov-12,2012,No,Bank of America,NC,National,Medium
1012,970,Mastercard,CR,5882842508952744.0,Jul-19,614,YES,2,$10700,Feb-03,2013,No, Bank of America ,NC,National,Medium
1464,970,Mastercard,Credit,5637149260486793.0,Jul-22,630,YES,2,5000000,Feb-20,2020,No,Wells Fargo,CA,National,Medium
1465,381,Mastercard,Card - Credit,5115700923413241.0,Apr-22,587,NO,1,$18100,Feb-20,2020,No,Truist,NC,Regional,Medium
388,1134,Amex,Card - Credit,324640000000000.0,Mar-24,659,YES,2,$7200,Jan-20,2020,No,PNC Bank,PA,Regional,Low
3708,1296,MASTERCARD,Debit,5033428838471726.0,Feb-20,546,YES,2,$22660,Jul-04,2007,No,Ally Bank,MI,Online,Low
3087,1296, Discover,Credit,6969946254132652.0,Dec-22,588,YES,1,$19800,May-11,2011,No, Bank of America ,NC,National,Medium
67,1296,Mastercard,Credit,5181226307106931.0,Nov-24,820,YES,2,$15500,Jan-05,2014,No,Chase Bank,NY,National,Low
80,1296,Vissa,Debit (Prepaid),4310689470082080.0,Jun-23,458,YES,1,$13,Jan-05,2008,No,ALLY BANK,MI,Online,Low
3665,1296,Mastercard,DeBiT,5051066154001741.0,Jun-21,526,YES,2,$4317,Jul-01,2011,No,bank of america,NC,National,Medium
2014,1880,Mastercard,DB,5456915066505066.0,Dec-21,553,NO,1,$14719,Mar-00,2008,No, Capital One ,VA,Online,Medium
4906,1880,Mastercard,Debit,5132664334960880.0,May-21,593,YES,1,$9532,Sep-17,2017,No,Ally Bank,MI,Online,Low
3757,1880,Mastercard,Credit,5752873844240568.0,Mar-20,486,YES,1,10000000,Jul-06,2014,No,Chase Bank,NY,National,Low
5365,322,Mastercard,Credit,5494228198326752.0,Sep-24,428,YES,2,$6200,Nov-01,2012,No,Capital One,VA,Online,Medium
5425,322,Mastercard,Debit,5789639625525459.0,Dec-12,43,YES,2,$2903,Nov-05,2011,No,Wells Fargo,CA,National,MEDIUM
5758,322,Mastercard,DEB,5392957769023387.0,Oct-20,803,YES,2,4.4k,Dec-99,2010,No,Bank of America,NC,National,Medium
5482,461,Mastercard,Debit,5182820825620434.0,Apr-21,126,YES,1,$28963,Nov-07,2012,No,Discover Bank,IL,Online,Low
3172,461,Mastercard,Debit,5102353988152905.0,Dec-22,667,YES,2,$20913,May-16,2016,No,Truist,NC,Regional,Medium
1209,461,Mastercard,Debiit,5033135709911480.0,Jul-24,170,YES,1,$23344,Feb-10,2010,No,U.S. Bank,MN,Regional,Low
5313,461,Mastercard,DEBIT,5611522756791997.0,Jan-20,882,YES,2,$33642,Oct-16,2016,No,Discover Bank,IL,Online,Low
4762,1165,Mastercard,Debit,5037404409791945.0,Jan-22,681,YES,1,$14695,Sep-10,2011,No,Truist,NC,Regional,Medium
126,1448,Mastercard,Credit,5571363047071896.0,Sep-23,510,YES,1,$13200,Jan-07,2015,No,Citi,NY,National,Medium
4685,1448,Vissa,Debit,4083033843851772.0,Jan-20,173,YES,1,$29950,Sep-08,2013,No,Wells Fargo,CA,National,Medium
5907,1448,VISA,Credit,4829916759482899.0,Jul-24,768,YES,2,$4600,Dec-07,2011,No,Chase Bank,NY,National,Low
2428,1288,Mastercard  ,debit,5458492483408549.0,Dec-22,92,YES,1,$10051,Apr-02,2011,No,U.S. Bank,MN,Regional,Low
1013,1288,Mastercard,Debit,5879094230635425.0,Dec-15,729,YES,2,"9,796",Feb-03,2013,No,Capital One,VA,Online,Medium
5145,1178,Mastercard,Debit,5769435406360328.0,Oct-21,957,YES,1,$17826,Oct-09,2009,No,pnc bank,pa,Regional,Low
5854,1178,Mastercard,DEB,5588799529406913.0,Nov-24,778,YES,1,19.1k,Dec-06,2009,No,Ally Bank,MI,Online,Low
5296,1178,Visa,Debit,4410685608952637.0,Jun-24,265,YES,2,$17345,Oct-14,2014,No,Ally Bank,MI,Online,Low
1327,1178,Visa,Debit,4470822684089911.0,Sep-20,923,YES,2,17976.00,Feb-13,2013,No,U.S. Bank,MN,Regional,Low
383,1178,V  ,Debit,4804338444306727.0,Jan-22,279,YES,2,16447.00,Jan-19,2019,No,Bank of America,NC,National,Medium
5129,1391,Visa,Debit,4194362281636453.0,Oct-24,271,YES,2,$29573,Oct-08,2009,No,Ally Bank,MI,Online,Low
5995,1391,Mastercard,Debit (Prepaid),5436469451844829.0,Dec-21,48,YES,2,$98,Dec-10,2010,No,Capital One,VA,Online,Medium
4107,1391,Mastercard,Debit ,5648865641388293.0,Aug-19,71,YES,2,$2559,Aug-02,2012,No,PNC BANK,PA,Regional,Low
36,1391,Master Card,Debit,5914243757284149.0,Oct-12,436,YES,2,"6,552",Jan-03,2010,No,Citi,NY,National,Medium
445,838,Mastercard,Credit,5193780952753626.0,Jan-21,591,YES,2,13800.00,Jan-20,2020,No,Capital One,VA,Online,Medium
1466,54,Mastercard,Debit  ,5957925302951752.0,Aug-20,746,YES,1,$16375,Feb-20,2020,No, Bank of America ,NC,National,Medium
749,54,VVisa,Debit,4557061225558443.0,May-23,780,YES,1,$14213,Jan-20,2020,No,JPMorgan Chase,NY,National,Low
1772,54, visa ,Debit (Prepaid),4883222888293069.0,Sep-20,2,YES,1,$73,Feb-20,2020,No,Capital One,VA,Online Bank,Medium
3801,1452,Mastercard,  Debit,5476407228285230.0,Nov-22,688,YES,2,$53466,Jul-07,2013,No,Truist,NC,Regional,Medium
282,1602,visa,credit,4698943729070491.0,Sep-20,450,YES,1,$6600,Jan-11,2013,No,Discover Bank,IL,Online,Low
6105,1602,Mastercard,Credit,5579147219556308.0,Jun-22,806,NO,2,$7200,Dec-15,2015,No,Bank of America,NC,National,Medium
446,1938,MASTERCARD,Debit,5099614207935768.0,Nov-20,856,YES,1,2868.00,Jan-20,2020,No,U.S. Bank,MN,Regional,Low
422,1938,Discover  ,Crdeit,6177503172021506.0,May-24,97,YES,1,3400.00,Jan-20,2020,No,Ally Bank,MI,online,Low
5231,1492,Mastercard,Debit ,5188130978534931.0,Jan-22,446,YES,1,10000000,Oct-11,2013,No,Ally Bank,MI,online,Low
2615,1492,V,DPP,4860320285002452.0,Dec-23,366,YES,2,$84,Apr-09,2017,No,PNC Bank,PA,Regional,Low
2776,1492,, Credit ,6417599205270844.0,Jul-21,504,YES,2,"17,600",Apr-18,2018,No,JPMorgan Chase,NY,National,Low
5452,1492,Mastercard,Debit Card,5516722949603675.0,Dec-12,621,YES,1,$31542,Nov-06,2009,No,Wells Fargo,CA,National,Medium
3563,1492,Mastercard,Debit,5891053637541514.0,Feb-22,362,YES,2,$23049,Jun-13,2013,No,Truist,NC,Regional,Medium
6134,1492,Visa,Debit,4222570131769035.0,May-20,141,YES,1,$29734,Dec-17,2017,No,Bank of America,NC,National,Medium
4818,1492,VISA, Credit ,4453742478192143.0,Jan-20,346,YES,2,"27,000",Sep-11,2016,No,Truist,NC,Regional,Medium
2171,1492,  Mastercard,debit (prepaid),5335984658439104.0,Nov-22,320,YES,1,$18,Mar-08,2010,No,Discover Bank,IL,Online,Low
6106,688,  Mastercard,Debit,5708150083756692.0,Apr-23,824,YES,1,$17848,Dec-15,2015,No, Wells Fargo ,CA,National,Medium
3042,688,Mastercard,D,5238684130320063.0,Nov-22,870,NO,1,$25563,May-10,2010,No, PNC Bank ,PA,Regional,Low
5209,688,VISA,Credit ,4740880792169372.0,Apr-20,168,YES,2,$12000,Oct-10,2010,No,Ally Bank,MI,Online,Low
1296,688,AMEX,Credit,361649000000000.0,Nov-18,709,NO,2,$6600,Feb-12,2012,No,Chase Bk,NY,National,Low
389,749,Amex,Credit,363306000000000.0,Sep-23,943,NO,1,$5600,Jan-20,2020,No,citi,NY,National,Medium
1773,749,Visa,Debit,4360859456629853.0,Nov-22,428,YES,3,$11873,Feb-20,2020,No,JPMorgan Chase,NY,National,Low
1467,749, Mastercard ,Credit,5498016831726771.0,Feb-20,871,YES,1,$7200,Feb-20,2020,No, Wells Fargo ,CA,National,Medium
1395,643,Amex,Credit Card,381573000000000.0,Aug-24,145,YES,1,$10000,Feb-20,2020,No,JPMorgan Chase,NY,National,Low
5597,643,Mastercard  ,Credit,5079302523329059.0,Apr-23,381,YES,2,$500,Nov-10,2010,No,Capital One,VA,Online,Medium
1468,1219,Mastercard,Debiit,5546998350637125.0,Feb-20,718,YES,1,$22697,Feb-20,2020,No,Truist,NC,Regional,Medium
2309,1219,Mastercard,CrEdIt,5326031764905960.0,Aug-23,437,YES,1,$18000,Mar-13,2013,No,Capital One,VA,Online,Medium
3466,1219,,Debit,5096150037217374.0,Oct-24,862,YES,1,$32903,Jun-10,2010,No,U.S. Bank,MN,Regional,Low
2804,1198,Visa,Debit,4489873116412364.0,Aug-21,547,YES,2,$12764,May-99,2010,No,Truist,NC,Regional,Medium
1388,1198,mastercard,CREDIT,5621725368325863.0,Oct-22,60,YES,1,$6300,Feb-19,2019,No,JPMorgan Chase,NY,National,Low
4660,898,Mastercard,D,5923138803280580.0,Feb-22,934,YES,2,$7541,Sep-08,2013,No,Ally Bank,MI,Online,Low
3356,898,Visa,debit,4447989421793048.0,Mar-22,995,YES,2,$1266,Jun-07,2012,No,PNC BANK,PA,Regional,Low
4870,898,Mastercard,Credit,5000307662634780.0,Apr-20,263,NO,1,"9,500",Sep-14,2014,No,Citi,NY,National,Medium
3467,882,Mastercard  ,DB,5707305515533516.0,Apr-20,203,YES,2,$1837,Jun-10,2010,No,Chase Bank,NY,National,Low
1079,882,Mastercard,Debit,5864987017850552.0,Aug-23,258,YES,2,$17453,Feb-06,2008,No,Capital One,VA,Online,Medium
2977,348,Visa,Debit,4228885239928189.0,Oct-13,543,NO,1,$28283,2028-01-21,2012,No,U.S. Bank,MN,Regional,Low
3073,348,,Credit,4210237285941913.0,Apr-20,160,YES,1,9999999,May-10,2012,No,Discover Bank,IL,Online,Low
3554,348,Visa,CR,4877073763902898.0,Jul-14,786,YES,2,13300.00,Jun-12,2012,No,Citi,NY,National,Medium
2597,633, Mastercard ,Debit,5558040779986506.0,Sep-21,69,YES,2,$17941,Apr-09,2009,No,Ally Bank,MI,ONLINE,Low
3489,1493,V,Crdeit,4642496218651973.0,Apr-18,594,YES,1,14.4k,Jun-10,2012,No,U.S. Bank,MN,Regional,Low
